"","name","duration","realtime","X.cpu","peak_rss","peak_vmem","rchar","wchar","dmr","samples","cpu_allocated","mem_allocated_gb","realtime_sec","peak_rss_mb"
"64","UXM","39.7s","8.3s","235.8%","797.8 MB","6.7 GB","164.7 MB","765.6 KB",250,5,8,16,8.3,797.8
"65","EPIDISH_ineq","3.8s","2.2s","104.6%","116.5 MB","1.1 GB","15.3 MB","17.9 KB",250,100,8,16,2.2,116.5
"66","EPIDISH_eq","38.3s","2.1s","104.3%","134.4 MB","1.2 GB","14.8 MB","4.1 KB",25,20,8,16,2.1,134.4
"67","UXM","35.5s","14.3s","384.5%","742.2 MB","6.3 GB","548.6 MB","545.8 KB",50,20,8,16,14.3,742.2
"68","PRMETH","3.2s","1.3s","126.0%","75.7 MB","1.3 GB","6.3 MB","1.4 KB",50,20,8,16,1.3,75.7
"69","CELFIE","4.5s","2s","79.4%","38.5 MB","379.9 MB","9.2 MB","6.6 KB",50,20,8,16,2,38.5
"70","METH_ATLAS","38.6s","3.4s","151.4%","74 MB","864.6 MB","14 MB","195.8 KB",50,20,8,16,3.4,74
"71","EPIDISH_RPC","38.6s","2.3s","102.5%","209.2 MB","1.4 GB","14.8 MB","3.2 KB",50,20,8,16,2.3,209.2
"72","EPISCORE","37.9s","6.3s","93.7%","424.4 MB","1.5 GB","32.3 MB","1.3 KB",50,20,8,16,6.3,424.4
"73","CIBERSORT","37.7s","3.2s","140.7%","118 MB","1.2 GB","14.4 MB","1 MB",50,20,8,16,3.2,118
"74","METDECODE","34.5s","14.9s","48.1%","497.5 MB","3.8 GB","64.9 MB","1.9 KB",50,20,8,16,14.9,497.5
"75","UXM","32s","25.6s","409.7%","760.7 MB","6.6 GB","1.2 GB","7.8 MB",250,100,8,16,25.6,760.7
"76","EPIDISH_RPC","4.6s","2.7s","100.4%","208.1 MB","1.2 GB","15.3 MB","14 KB",250,100,8,16,2.7,208.1
"77","CELFIE","39.8s","4.8s","91.2%","63.7 MB","443.4 MB","9.5 MB","31.6 KB",250,100,8,16,4.8,63.7
"78","METDECODE","39.7s","16.1s","143.2%","572.3 MB","4.8 GB","65.3 MB","6.1 KB",250,100,8,16,16.1,572.3
"79","CIBERSORT","34.7s","11.6s","173.2%","106.9 MB","1.2 GB","41 MB","22.5 MB",250,100,8,16,11.6,106.9
"80","PRMETH","39.4s","4.6s","105.8%","104.8 MB","1.4 GB","6.7 MB","5.1 KB",250,100,8,16,4.6,104.8
"81","EPISCORE","39.1s","6.3s","96.0%","462.7 MB","1.5 GB","32.7 MB","5.2 KB",250,100,8,16,6.3,462.7
"82","METH_ATLAS","39.3s","3.2s","162.4%","80 MB","735.9 MB","18.3 MB","4.1 MB",250,100,8,16,3.2,80
"83","EPIDISH_eq","4.2s","2.1s","103.4%","121.6 MB","1.1 GB","14.9 MB","1.6 KB",250,5,8,16,2.1,121.6
"84","UXM","34.1s","15.1s","341.3%","810 MB","6.7 GB","548 MB","423.9 KB",25,20,8,16,15.1,810
"85","PRMETH","4.4s","1.1s","127.9%","2 MB","22 MB","6.3 MB","1.4 KB",25,20,8,16,1.1,2
"86","CELFIE","4.5s","1.9s","80.3%","34 MB","380.4 MB","9.2 MB","4.5 KB",25,20,8,16,1.9,34
"87","EPISCORE","39.1s","6.5s","94.2%","503.7 MB","1.7 GB","32.3 MB","1.4 KB",25,20,8,16,6.5,503.7
"88","CIBERSORT","39s","3.1s","139.4%","102.3 MB","1.2 GB","14 MB","615.6 KB",25,20,8,16,3.1,102.3
"89","EPIDISH_RPC","38.9s","2.2s","104.2%","211 MB","1.4 GB","14.8 MB","3.4 KB",25,20,8,16,2.2,211
"90","METH_ATLAS","38.7s","3.6s","148.3%","191.9 MB","2.1 GB","13.9 MB","114.6 KB",25,20,8,16,3.6,191.9
"91","METDECODE","34.7s","15.2s","47.4%","487.2 MB","3.8 GB","64.9 MB","1.9 KB",25,20,8,16,15.2,487.2
"92","UXM","31.7s","22.2s","460.8%","697 MB","5.9 GB","1.1 GB","1.2 MB",50,50,8,16,22.2,697
"93","EPIDISH_RPC","4.5s","2.4s","101.6%","209.3 MB","1.4 GB","14.8 MB","7.4 KB",50,50,8,16,2.4,209.3
"94","PRMETH","3.6s","2s","114.6%","77.6 MB","1.3 GB","6.3 MB","2.8 KB",50,50,8,16,2,77.6
"95","EPISCORE","34.4s","6.6s","93.3%","503.2 MB","1.7 GB","32.3 MB","2.8 KB",50,50,8,16,6.6,503.2
"96","CIBERSORT","34.3s","5.9s","152.2%","105.6 MB","1.2 GB","17.7 MB","2.6 MB",50,50,8,16,5.9,105.6
"97","METH_ATLAS","34.2s","3.4s","160.6%","76 MB","865.1 MB","14.3 MB","481.5 KB",50,50,8,16,3.4,76
"98","CELFIE","4.4s","2.3s","80.7%","52 MB","407.5 MB","9.2 MB","9.7 KB",50,50,8,16,2.3,52
"99","METDECODE","38.3s","14s","87.5%","494.9 MB","3.8 GB","65 MB","3.3 KB",50,50,8,16,14,494.9
"100","CIBERSORT","4.8s","1.9s","123.6%","70.6 MB","1.2 GB","12.7 MB","268.1 KB",50,5,8,16,1.9,70.6
"101","PRMETH","4.7s","1.3s","121.7%","65.6 MB","1.3 GB","6.3 MB","723 B",50,5,8,16,1.3,65.6
"102","METH_ATLAS","4.6s","3.4s","148.3%","80 MB","865.1 MB","13.9 MB","52.9 KB",50,5,8,16,3.4,80
"103","CELFIE","4.3s","1.6s","88.6%","44 MB","396.7 MB","9.2 MB","5 KB",50,5,8,16,1.6,44
"104","EPISCORE","39.3s","6.1s","93.7%","416.7 MB","1.5 GB","32.3 MB","748 B",50,5,8,16,6.1,416.7
"105","EPIDISH_RPC","39.1s","5s","49.1%","180.5 MB","1.2 GB","14.8 MB","1.3 KB",50,5,8,16,5,180.5
"106","METDECODE","34.6s","14.7s","47.6%","501 MB","3.8 GB","64.9 MB","1.2 KB",50,5,8,16,14.7,501
"107","UXM","39.7s","8s","229.9%","762.1 MB","6.3 GB","157.7 MB","158.6 KB",50,5,8,16,8,762.1
"108","EPIDISH_eq","4.2s","1.7s","112.0%","132.2 MB","1.2 GB","14.8 MB","1.6 KB",100,5,8,16,1.7,132.2
"109","EPIDISH_eq","4s","1.6s","117.9%","131.8 MB","1.2 GB","14.9 MB","9.3 KB",100,50,8,16,1.6,131.8
"110","EPIDISH_eq","4s","2.2s","103.5%","128.4 MB","1.2 GB","15.3 MB","9.3 KB",500,50,8,16,2.2,128.4
"111","EPIDISH_eq","3.8s","2.1s","103.5%","135.9 MB","1.2 GB","15 MB","17.9 KB",100,100,8,16,2.1,135.9
"112","UXM","48.1s","40.2s","477.3%","784.7 MB","6.3 GB","2.1 GB","1.7 MB",25,100,8,16,40.2,784.7
"113","CELFIE","4.7s","2.7s","85.9%","52 MB","407.5 MB","9.2 MB","12.7 KB",25,100,8,16,2.7,52
