sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.1_20000000_rep10,0.2464,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep2,0.2513,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep3,0.2548,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep4,0.2515,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep5,0.2501,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep7,0.2473,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep8,0.2501,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep9,0.2487,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.25_20000000_rep10,0.5646,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep2,0.5641,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep3,0.5602,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep4,0.5621,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep5,0.566,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep6,0.5632,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep7,0.5649,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep8,0.5666,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep9,0.5671,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.5_20000000_rep1,0.9988,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
