"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"157","meth_atlas","DMRfinder","LUAD","183M",0.025,2
"158","CIBERSORT","DMRfinder","LUAD","183M",0.5,8
"159","EpiDISH_CP_eq","DMRfinder","LUAD","183M",0.025,2
"160","EpiDISH_CP_ineq","DMRfinder","LUAD","183M",0.025,2
"161","UXM","limma","LUAD","183M",0.05,6
"162","CelFiE","limma","LUAD","183M",0.025,4
"163","MetDecode","limma","LUAD","183M",0.025,4
"164","EpiDISH_RPC","limma","LUAD","183M",0.1,8
"165","EpiSCORE","limma","LUAD","183M",0.1,8
"166","PRMeth","limma","LUAD","183M",0.05,6
"167","meth_atlas","limma","LUAD","183M",0.01,1
"168","CIBERSORT","limma","LUAD","183M",0.1,8
"169","EpiDISH_CP_eq","limma","LUAD","183M",0.01,1
"170","EpiDISH_CP_ineq","limma","LUAD","183M",0.01,1
"171","UXM","wgbstools","LUAD","183M",0.01,2
"172","CelFiE","wgbstools","LUAD","183M",0.01,2
"173","MetDecode","wgbstools","LUAD","183M",0.05,7
"174","EpiDISH_RPC","wgbstools","LUAD","183M",0.25,9
"175","EpiSCORE","wgbstools","LUAD","183M",0.25,9
"176","PRMeth","wgbstools","LUAD","183M",0.05,7
"177","meth_atlas","wgbstools","LUAD","183M",0.025,6
"178","CIBERSORT","wgbstools","LUAD","183M",1e-04,1
"179","EpiDISH_CP_eq","wgbstools","LUAD","183M",0.01,2
"180","EpiDISH_CP_ineq","wgbstools","LUAD","183M",0.01,2
"181","EpiDISH_CP_ineq","DMRfinder","LUAD","62M",0.05,2
"182","MetDecode","DMRfinder","LUAD","62M",0.05,2
"183","CelFiE","DMRfinder","LUAD","62M",0.025,1
"184","UXM","DMRfinder","LUAD","62M",0.1,6
"185","EpiDISH_RPC","DMRfinder","LUAD","62M",1,9
"186","EpiSCORE","DMRfinder","LUAD","62M",0.5,8
"187","PRMeth","DMRfinder","LUAD","62M",0.25,7
"188","meth_atlas","DMRfinder","LUAD","62M",0.05,2
"189","CIBERSORT","DMRfinder","LUAD","62M",1,9
"190","EpiDISH_CP_eq","DMRfinder","LUAD","62M",0.05,2
"191","EpiDISH_CP_ineq","limma","LUAD","62M",0.05,2
"192","MetDecode","limma","LUAD","62M",0.1,6
"193","CelFiE","limma","LUAD","62M",0.025,1
"194","UXM","limma","LUAD","62M",0.05,2
"195","EpiDISH_RPC","limma","LUAD","62M",0.25,8
"196","EpiSCORE","limma","LUAD","62M",0.25,8
"197","PRMeth","limma","LUAD","62M",0.05,2
"198","meth_atlas","limma","LUAD","62M",0.1,6
"199","CIBERSORT","limma","LUAD","62M",0.25,8
"200","EpiDISH_CP_eq","limma","LUAD","62M",0.05,2
"201","EpiDISH_CP_ineq","wgbstools","LUAD","62M",0.025,1
"202","MetDecode","wgbstools","LUAD","62M",0.05,3
"203","CelFiE","wgbstools","LUAD","62M",0.05,3
"204","UXM","wgbstools","LUAD","62M",0.025,1
"205","EpiDISH_RPC","wgbstools","LUAD","62M",0.5,8
"206","EpiSCORE","wgbstools","LUAD","62M",0.5,8
"207","PRMeth","wgbstools","LUAD","62M",0.1,7
"208","meth_atlas","wgbstools","LUAD","62M",0.05,3
"209","CIBERSORT","wgbstools","LUAD","62M",0.5,8
