"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"930","EpiDISH_CP_eq","DMRfinder","CRC","10M",0.007,1
"931","EpiDISH_CP_ineq","limma","NBL","2M",0.003,2
"932","EpiDISH_CP_eq","limma","NBL","2M",0.003,2
"933","CelFiE","limma","NBL","2M",0.001,1
"934","MetDecode","limma","NBL","2M",0.003,2
"935","UXM","limma","NBL","2M",0.05,6
"936","EpiSCORE","limma","NBL","2M",0.1,7
"937","meth_atlas","limma","NBL","2M",0.003,2
"938","PRMeth","limma","NBL","2M",0.5,10
"939","EpiDISH_RPC","limma","NBL","2M",0.1,7
"940","CIBERSORT","limma","NBL","2M",0.1,7
"941","EpiDISH_CP_ineq","DMRfinder","NBL","2M",0.01,3
"942","EpiDISH_CP_eq","DMRfinder","NBL","2M",0.025,5
"943","CelFiE","DMRfinder","NBL","2M",0.001,1
"944","MetDecode","DMRfinder","NBL","2M",0.003,2
"945","UXM","DMRfinder","NBL","2M",0.025,5
"946","EpiSCORE","DMRfinder","NBL","2M",0.25,7
"947","meth_atlas","DMRfinder","NBL","2M",0.01,3
"948","PRMeth","DMRfinder","NBL","2M",0.5,8
"949","EpiDISH_RPC","DMRfinder","NBL","2M",0.5,8
"950","CIBERSORT","DMRfinder","NBL","2M",0.5,8
"951","EpiDISH_CP_ineq","wgbstools","NBL","2M",0.007,4
"952","EpiDISH_CP_eq","wgbstools","NBL","2M",0.007,4
"953","CelFiE","wgbstools","NBL","2M",0.001,1
"954","MetDecode","wgbstools","NBL","2M",0.003,2
"955","UXM","wgbstools","NBL","2M",0.1,9
"956","EpiSCORE","wgbstools","NBL","2M",0.05,6
"957","meth_atlas","wgbstools","NBL","2M",0.003,2
"958","PRMeth","wgbstools","NBL","2M",0.25,10
"959","EpiDISH_RPC","wgbstools","NBL","2M",0.05,6
"960","CIBERSORT","wgbstools","NBL","2M",0.05,6
"961","EpiDISH_CP_eq","wgbstools","NBL","20M",0.003,4
"962","MetDecode","wgbstools","NBL","20M",0.001,1
"963","CelFiE","wgbstools","NBL","20M",0.001,1
"964","UXM","wgbstools","NBL","20M",0.025,6
"965","EpiSCORE","wgbstools","NBL","20M",0.05,7
"966","meth_atlas","wgbstools","NBL","20M",0.001,1
"967","EpiDISH_RPC","wgbstools","NBL","20M",0.05,7
"968","PRMeth","wgbstools","NBL","20M",0.25,10
"969","CIBERSORT","wgbstools","NBL","20M",0.05,7
"970","EpiDISH_CP_ineq","wgbstools","NBL","20M",0.003,4
"971","EpiDISH_CP_eq","limma","NBL","20M",0.001,1
"972","MetDecode","limma","NBL","20M",0.001,1
"973","CelFiE","limma","NBL","20M",0.001,1
"974","UXM","limma","NBL","20M",0.007,6
"975","EpiSCORE","limma","NBL","20M",0.05,7
"976","meth_atlas","limma","NBL","20M",0.001,1
"977","EpiDISH_RPC","limma","NBL","20M",0.1,8
"978","PRMeth","limma","NBL","20M",0.25,10
"979","CIBERSORT","limma","NBL","20M",0.1,8
"980","EpiDISH_CP_ineq","limma","NBL","20M",0.001,1
"981","EpiDISH_CP_eq","DMRfinder","NBL","20M",0.01,6
"982","MetDecode","DMRfinder","NBL","20M",0.001,1
"983","CelFiE","DMRfinder","NBL","20M",0.001,1
"984","UXM","DMRfinder","NBL","20M",0.007,5
"985","EpiSCORE","DMRfinder","NBL","20M",0.25,7
"986","meth_atlas","DMRfinder","NBL","20M",0.003,3
"987","EpiDISH_RPC","DMRfinder","NBL","20M",0.25,7
"988","PRMeth","DMRfinder","NBL","20M",0.5,10
"989","CIBERSORT","DMRfinder","NBL","20M",0.25,7
"990","EpiDISH_CP_ineq","DMRfinder","NBL","20M",0.003,3
"991","MetDecode","DMRfinder","NBL","15M",0.003,1
"992","CelFiE","DMRfinder","NBL","15M",0.003,1
"993","UXM","DMRfinder","NBL","15M",0.003,1
"994","CIBERSORT","DMRfinder","NBL","15M",0.25,7
"995","meth_atlas","DMRfinder","NBL","15M",0.003,1
"996","EpiDISH_RPC","DMRfinder","NBL","15M",0.25,7
"997","EpiSCORE","DMRfinder","NBL","15M",0.25,7
"998","PRMeth","DMRfinder","NBL","15M",0.5,10
"999","EpiDISH_CP_ineq","DMRfinder","NBL","15M",0.003,1
"1000","EpiDISH_CP_eq","DMRfinder","NBL","15M",0.025,6
"1001","MetDecode","wgbstools","NBL","15M",0.003,2
"1002","CelFiE","wgbstools","NBL","15M",0.001,1
"1003","UXM","wgbstools","NBL","15M",0.05,6
"1004","CIBERSORT","wgbstools","NBL","15M",0.05,6
"1005","meth_atlas","wgbstools","NBL","15M",0.003,2
"1006","EpiDISH_RPC","wgbstools","NBL","15M",0.05,6
"1007","EpiSCORE","wgbstools","NBL","15M",0.05,6
"1008","PRMeth","wgbstools","NBL","15M",0.25,10
"1009","EpiDISH_CP_ineq","wgbstools","NBL","15M",0.003,2
"1010","EpiDISH_CP_eq","wgbstools","NBL","15M",0.003,2
"1011","MetDecode","limma","NBL","15M",0.003,2
"1012","CelFiE","limma","NBL","15M",0.001,1
"1013","UXM","limma","NBL","15M",0.025,6
"1014","CIBERSORT","limma","NBL","15M",0.1,8
"1015","meth_atlas","limma","NBL","15M",0.003,2
"1016","EpiDISH_RPC","limma","NBL","15M",0.1,8
"1017","EpiSCORE","limma","NBL","15M",0.05,7
"1018","PRMeth","limma","NBL","15M",0.25,10
"1019","EpiDISH_CP_ineq","limma","NBL","15M",0.003,2
"1020","EpiDISH_CP_eq","limma","NBL","15M",0.003,2
"1021","EpiDISH_CP_ineq","limma","NBL","10M",0.003,3
"1022","EpiDISH_CP_eq","limma","NBL","10M",0.003,3
"1023","UXM","limma","NBL","10M",0.007,6
"1024","MetDecode","limma","NBL","10M",0.001,1
"1025","CelFiE","limma","NBL","10M",0.001,1
"1026","meth_atlas","limma","NBL","10M",0.003,3
"1027","PRMeth","limma","NBL","10M",0.25,10
"1028","EpiDISH_RPC","limma","NBL","10M",0.1,8
"1029","CIBERSORT","limma","NBL","10M",0.1,8
"1030","EpiSCORE","limma","NBL","10M",0.05,7
"1031","EpiDISH_CP_ineq","wgbstools","NBL","10M",0.003,3
"1032","EpiDISH_CP_eq","wgbstools","NBL","10M",0.003,3
"1033","UXM","wgbstools","NBL","10M",0.025,6
"1034","MetDecode","wgbstools","NBL","10M",0.001,1
"1035","CelFiE","wgbstools","NBL","10M",0.001,1
"1036","meth_atlas","wgbstools","NBL","10M",0.003,3
"1037","PRMeth","wgbstools","NBL","10M",0.25,10
"1038","EpiDISH_RPC","wgbstools","NBL","10M",0.05,7
"1039","CIBERSORT","wgbstools","NBL","10M",0.05,7
"1040","EpiSCORE","wgbstools","NBL","10M",0.05,7
"1041","EpiDISH_CP_ineq","DMRfinder","NBL","10M",0.007,4
"1042","EpiDISH_CP_eq","DMRfinder","NBL","10M",0.007,4
"1043","UXM","DMRfinder","NBL","10M",0.003,3
"1044","MetDecode","DMRfinder","NBL","10M",0.001,1
"1045","CelFiE","DMRfinder","NBL","10M",0.001,1
"1046","meth_atlas","DMRfinder","NBL","10M",0.007,4
"1047","PRMeth","DMRfinder","NBL","10M",0.25,7
"1048","EpiDISH_RPC","DMRfinder","NBL","10M",0.25,7
"1049","CIBERSORT","DMRfinder","NBL","10M",0.25,7
"1050","EpiSCORE","DMRfinder","NBL","10M",0.25,7
"1051","EpiDISH_CP_ineq","DMRfinder","NBL","5M",0.007,3
"1052","EpiDISH_CP_eq","DMRfinder","NBL","5M",0.007,3
"1053","MetDecode","DMRfinder","NBL","5M",0.003,2
"1054","CelFiE","DMRfinder","NBL","5M",1e-04,1
"1055","UXM","DMRfinder","NBL","5M",0.025,6
"1056","CIBERSORT","DMRfinder","NBL","5M",0.25,7
"1057","meth_atlas","DMRfinder","NBL","5M",0.007,3
"1058","EpiSCORE","DMRfinder","NBL","5M",0.25,7
"1059","PRMeth","DMRfinder","NBL","5M",0.5,9
"1060","EpiDISH_RPC","DMRfinder","NBL","5M",0.5,9
"1061","EpiDISH_CP_ineq","wgbstools","NBL","5M",0.003,2
"1062","EpiDISH_CP_eq","wgbstools","NBL","5M",0.003,2
"1063","MetDecode","wgbstools","NBL","5M",0.003,2
"1064","CelFiE","wgbstools","NBL","5M",0.001,1
"1065","UXM","wgbstools","NBL","5M",0.1,8
"1066","CIBERSORT","wgbstools","NBL","5M",0.1,8
"1067","meth_atlas","wgbstools","NBL","5M",0.003,2
"1068","EpiSCORE","wgbstools","NBL","5M",0.05,6
"1069","PRMeth","wgbstools","NBL","5M",0.25,10
"1070","EpiDISH_RPC","wgbstools","NBL","5M",0.05,6
"1071","EpiDISH_CP_ineq","limma","NBL","5M",0.003,3
"1072","EpiDISH_CP_eq","limma","NBL","5M",0.003,3
"1073","MetDecode","limma","NBL","5M",0.003,3
"1074","CelFiE","limma","NBL","5M",0.001,1
"1075","UXM","limma","NBL","5M",0.05,6
"1076","CIBERSORT","limma","NBL","5M",0.05,6
"1077","meth_atlas","limma","NBL","5M",0.001,1
"1078","EpiSCORE","limma","NBL","5M",0.05,6
"1079","PRMeth","limma","NBL","5M",0.25,10
"1080","EpiDISH_RPC","limma","NBL","5M",0.1,9
